hsa   Homo sapiens (human)
ptr   Pan troglodytes (chimpanzee)
pps   Pan paniscus (bonobo)
ggo   Gorilla gorilla gorilla (western lowland gorilla)
pon   Pongo abelii (Sumatran orangutan)
nle   Nomascus leucogenys (northern white-cheeked gibbon)
mcc   Macaca mulatta (rhesus monkey)
mcf   Macaca fascicularis (crab-eating macaque)
mthb  Macaca thibetana thibetana (Pere Davids macaque)
csab  Chlorocebus sabaeus (green monkey)
caty  Cercocebus atys (sooty mangabey)
panu  Papio anubis (olive baboon)
tge   Theropithecus gelada (gelada)
rro   Rhinopithecus roxellana (golden snub-nosed monkey)
rbb   Rhinopithecus bieti (black snub-nosed monkey)
tfn   Trachypithecus francoisi (Francoiss langur)
pteh  Piliocolobus tephrosceles (Ugandan red Colobus)
cjc   Callithrix jacchus (white-tufted-ear marmoset)
sbq   Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
csyr  Carlito syrichta (Philippine tarsier)
mmur  Microcebus murinus (gray mouse lemur)
lcat  Lemur catta (Ring-tailed lemur)
oga   Otolemur garnettii (small-eared galago)
mmu   Mus musculus (house mouse)
mcal  Mus caroli (Ryukyu mouse)
mpah  Mus pahari (shrew mouse)
rno   Rattus norvegicus (rat)
mcoc  Mastomys coucha (southern multimammate mouse)
mun   Meriones unguiculatus (Mongolian gerbil)
cge   Cricetulus griseus (Chinese hamster)
maua  Mesocricetus auratus (golden hamster)
pleu  Peromyscus leucopus (white-footed mouse)
morg  Microtus oregoni (creeping vole)
mfot  Microtus fortis (reed vole)
aamp  Arvicola amphibius (Eurasian water vole)
ngi   Nannospalax galili (Upper Galilee mountains blind mole rat)
hgl   Heterocephalus glaber (naked mole-rat)
cpoc  Cavia porcellus (domestic guinea pig)
ccan  Castor canadensis (American beaver)
dord  Dipodomys ordii (Ords kangaroo rat)
dsp   Dipodomys spectabilis (banner-tailed kangaroo rat)
ncar  Sciurus carolinensis (gray squirrel)
ocu   Oryctolagus cuniculus (rabbit)
opi   Ochotona princeps (American pika)
tup   Tupaia chinensis (Chinese tree shrew)
cfa   Canis lupus familiaris (dog)
clud  Canis lupus dingo (dingo)
vvp   Vulpes vulpes (red fox)
vlg   Vulpes lagopus (Arctic fox)
aml   Ailuropoda melanoleuca (giant panda)
umr   Ursus maritimus (polar bear)
uah   Ursus arctos horribilis (North American brown bear)
uar   Ursus americanus (American black bear)
elk   Enhydra lutris kenyoni (northern sea otter)
llv   Lutra lutra (Eurasian river otter)
mpuf  Mustela putorius furo (domestic ferret)
oro   Odobenus rosmarus divergens (Pacific walrus)
eju   Eumetopias jubatus (Steller sea lion)
zca   Zalophus californianus (California sea lion)
mlx   Mirounga leonina (Southern elephant seal)
nsu   Neomonachus schauinslandi (Hawaiian monk seal)
fca   Felis catus (domestic cat)
pyu   Puma yagouaroundi (jaguarundi)
pbg   Prionailurus bengalensis (leopard cat)
lruf  Lynx rufus (bobcat)
ptg   Panthera tigris altaica (Amur tiger)
ppad  Panthera pardus (leopard)
aju   Acinonyx jubatus (cheetah)
hhv   Hyaena hyaena (striped hyena)
bta   Bos taurus (cow)
bom   Bos mutus (wild yak)
biu   Bos indicus (zebu cattle)
bbub  Bubalus bubalis (water buffalo)
chx   Capra hircus (goat)
oas   Ovis aries (sheep)
oda   Oryx dammah (scimitar-horned oryx)
ccad  Cervus canadensis (wapiti)
ssc   Sus scrofa (pig)
cfr   Camelus ferus (Wild Bactrian camel)
cbai  Camelus bactrianus (Bactrian camel)
cdk   Camelus dromedarius (Arabian camel)
vpc   Vicugna pacos (alpaca)
bacu  Balaenoptera acutorostrata scammoni (minke whale)
lve   Lipotes vexillifer (Yangtze River dolphin)
oor   Orcinus orca (killer whale)
dle   Delphinapterus leucas (beluga whale)
pcad  Physeter catodon (sperm whale)
psiu  Phocoena sinus (vaquita)
ecb   Equus caballus (horse)
epz   Equus przewalskii (Przewalskis horse)
eai   Equus asinus (ass)
myb   Myotis brandtii (Brandts bat)
myd   Myotis davidii (Davids myotis)
mmyo  Myotis myotis (greater mouse-eared bat)
mlf   Myotis lucifugus (little brown bat)
mna   Miniopterus natalensis (Natal long-fingered bat)
pkl   Pipistrellus kuhlii (Kuhls pipistrelle)
hai   Hipposideros armiger (great roundleaf bat)
dro   Desmodus rotundus (common vampire bat)
shon  Sturnira hondurensis
ajm   Artibeus jamaicensis (Jamaican fruit-eating bat)
pdic  Phyllostomus discolor (pale spear-nosed bat)
phas  Phyllostomus hastatus (greater spear-nosed bat)
mmf   Molossus molossus (Pallass mastiff bat)
rfq   Rhinolophus ferrumequinum (greater horseshoe bat)
pale  Pteropus alecto (black flying fox)
pgig  Pteropus giganteus (Indian flying fox)
pvp   Pteropus vampyrus (large flying fox)
ray   Rousettus aegyptiacus (Egyptian rousette)
mjv   Manis javanica (Malayan pangolin)
tod   Talpa occidentalis (Iberian mole)
sara  Sorex araneus (European shrew)
lav   Loxodonta africana (African savanna elephant)
tmu   Trichechus manatus latirostris (Florida manatee)
dnm   Dasypus novemcinctus (nine-banded armadillo)
mdo   Monodelphis domestica (gray short-tailed opossum)
gas   Gracilinanus agilis (agile gracile opossum)
shr   Sarcophilus harrisii (Tasmanian devil)
pcw   Phascolarctos cinereus (koala)
oaa   Ornithorhynchus anatinus (platypus)
gga   Gallus gallus (chicken)
pcoc  Phasianus colchicus (Ring-necked pheasant)
mgp   Meleagris gallopavo (turkey)
cjo   Coturnix japonica (Japanese quail)
nmel  Numida meleagris (helmeted guineafowl)
apla  Anas platyrhynchos (mallard)
acyg  Anser cygnoides domesticus (swan goose)
aful  Aythya fuligula (tufted duck)
tgu   Taeniopygia guttata (zebra finch)
lsr   Lonchura striata domestica (Bengalese finch)
scan  Serinus canaria (common canary)
pmoa  Passer montanus (Eurasian tree sparrow)
otc   Onychostruthus taczanowskii (white-rumped snowfinch)
pruf  Pyrgilauda ruficollis (rufous-necked snowfinch)
gfr   Geospiza fortis (medium ground-finch)
fab   Ficedula albicollis (collared flycatcher)
phi   Pseudopodoces humilis (Tibetan ground-tit)
pmaj  Parus major (Great Tit)
ccae  Cyanistes caeruleus (blue tit)
ccw   Corvus cornix (hooded crow)
cbrc  Corvus brachyrhynchos (American crow)
etl   Empidonax traillii (willow flycatcher)
zab   Zonotrichia albicollis (white-throated sparrow)
achl  Acanthisitta chloris (rifleman)
fpg   Falco peregrinus (peregrine falcon)
fch   Falco cherrug (Saker falcon)
clv   Columba livia (rock pigeon)
egz   Egretta garzetta (little egret)
nni   Nipponia nippon (crested ibis)
plet  Phaethon lepturus (White-tailed tropicbird)
pcri  Pelecanus crispus (Dalmatian pelican)
acun  Athene cunicularia (burrowing owl)
tala  Tyto alba (Barn owl)
padl  Pygoscelis adeliae (Adelie penguin)
afor  Aptenodytes forsteri (emperor penguin)
achc  Aquila chrysaetos chrysaetos (golden eagle)
hald  Haliaeetus albicilla (white-tailed eagle)
ccri  Cariama cristata (Red-legged seriema)
csti  Colius striatus (speckled mousebird)
ehs   Eurypyga helias (sunbittern)
cmac  Chlamydotis macqueenii (Macqueens bustard)
mui   Mesitornis unicolor (brown roatelo)
fga   Fulmarus glacialis (Northern fulmar)
gste  Gavia stellata (red-throated loon)
ldi   Leptosomus discolor (cuckoo roller)
